,Headlines,Time,Sentiment
1536,"Cramer Remix: Apple could decline, no matter what new products it announces on Monday"," 8:15  PM ET Fri, 22 March 2019",1
1537,Cramer: I'm skeptical about Lyft as a longer-term investment," 7:20  PM ET Fri, 22 March 2019",3
1538,Cramer's game plan: 'Get ready to ride through these troubled waters'," 7:47  PM ET Fri, 22 March 2019",4
1539,Cramer Remix: Levi's stock is too rich to buy after its high-flying IPO," 7:22  PM ET Thu, 21 March 2019",2
1540,CVS Health CEO on reducing costs: Billions in value opportunity is 'in front of us'," 7:25  PM ET Thu, 21 March 2019",5
1541,Cramer: Investors need a new playbook now that the Fed ended rate hikes this year," 7:20  PM ET Thu, 21 March 2019",1
1543,Cramer Remix: Forget the stocks caught in the trade war crossfire," 8:59  PM ET Wed, 20 March 2019",1
1544,Cramer: The court can rein in Tesla CEO Elon Musk with one of these three moves," 8:23  PM ET Wed, 20 March 2019",4
1545,Cramer: US-China trade talks are now more about a 'trust gap' than the 'trade gap',"12:32  PM ET Thu, 21 March 2019",3
1546,"Global growth is 'unlikely' if China trade and Brexit are not resolved, FedEx CEO says"," 4:05  PM ET Wed, 20 March 2019",1
1547,"Cramer Remix: You can't invest in Kylie Jenner, but this stock could help","11:51  AM ET Wed, 20 March 2019",4
1548,Norwegian Cruise Line CEO: Attracting millennial guests through Instagram," 9:56  PM ET Tue, 19 March 2019",5
1550,Cramer: Market action shows investors are taking a 'leap of taste'," 8:00  PM ET Tue, 19 March 2019",3
1551,Cramer Remix: I need to see better earnings before recommending this stock," 8:07  AM ET Fri, 15 March 2019",3
1552,"GE will be transparent about challenges in its turnaround plan, CEO Larry Culp says","12:03  AM ET Fri, 15 March 2019",4
1553,Cramer: Five 'perils' of investing in individual stocks,"12:05  AM ET Fri, 15 March 2019",5
1554,Cramer: I'm not betting against the guy that chairs Aphria," 7:31  PM ET Wed, 13 March 2019",1
1555,Dell CEO: We're positioned to 'help our customers with the digital transformation'," 7:15  PM ET Wed, 13 March 2019",5
1556,Cramer: The disrupters have been the biggest winners — Kraft Heinz take note," 6:54  PM ET Wed, 13 March 2019",5
1557,"Cramer Remix: If the dollar peaks, it could be positive for your portfolio"," 8:47  PM ET Tue, 12 March 2019",3
1558,Cramer's lightning round: We are recommending this speculative stock," 7:09  PM ET Tue, 12 March 2019",5
1559,Cramer: Semiconductors are now showing better signs about the global economy," 9:01  PM ET Tue, 12 March 2019",3
1560,Cramer: Dick's Sporting Goods 'dropped the bomb' in its earnings call that has hurt other retailers," 8:59  PM ET Tue, 12 March 2019",1
1561,Cramer Remix: This board room shake up makes eBay a buy,"12:29  PM ET Tue, 12 March 2019",5
1562,Cramer's grocery list: Buy Amazon and Costco. Sell Kroger,"12:19  PM ET Tue, 12 March 2019",1
1563,Cramer: Why Monday's rally won't be the market's only good session," 8:48  PM ET Mon, 11 March 2019",1
1565,Cramer Remix: This stock is looking its selfie best," 7:26  PM ET Fri,  8 March 2019",5
1566,Cramer: Why Planet Fitness is working out and the new Weight Watchers isn't,"12:35  PM ET Mon, 11 March 2019",2
1567,Cramer's game plan: Friday's rebound is something to celebrate going into next week," 7:38  PM ET Fri,  8 March 2019",4
1568,Cramer's lightning round: A stock to cut down on colon cancer," 9:13  PM ET Thu,  7 March 2019",5
1569,Cramer Remix: The market's freak-out creates a fabulous buying opportunity in Funko,"10:31  PM ET Thu,  7 March 2019",5
1570,Barrick Gold CEO: Newmont merger would deliver 'real value' in Nevada," 8:56  PM ET Thu,  7 March 2019",5
1572,Cramer: Following these 6 stocks will help you predict which way the market is going,"12:18  PM ET Fri,  8 March 2019",4
1573,Cramer Remix: This is something Bristol-Myers should do," 3:50  PM ET Wed, 13 March 2019",5
1574,Dollar Tree CEO: We're giving Family Dollar a 'wow' factor to draw customers," 9:18  PM ET Wed,  6 March 2019",5
1575,Cramer: Stockholders are suffering from FOBS—fear of big sellers," 9:19  PM ET Wed,  6 March 2019",1
1576,Cramer Remix: These FANG stocks are heating up once again," 9:06  PM ET Tue,  5 March 2019",5
1577,Square Capital head: Leveraging data to extend credit to small businesses that lack access to loans,"11:12  AM ET Wed,  6 March 2019",5
1578,Cramer: Why Trump could decide to walk away from a trade deal with China,"11:09  AM ET Wed,  6 March 2019",1
1579,Cramer Remix: You may get a better chance to buy this recent IPO,"10:58  PM ET Mon,  4 March 2019",3
1580,Salesforce co-CEO Benioff says $30 billion in revenue is 'right around the corner',"10:06  PM ET Mon,  4 March 2019",1
1581,Cramer: Investors should be patient and take advantage of this sell-off," 9:59  PM ET Mon,  4 March 2019",1
1582,Cramer Remix: This stock was left for dead - Now it has my blessing," 8:29  PM ET Fri,  1 March 2019",5
1583,Cramer: 'It's about time' that Gap decided to split its businesses," 8:52  PM ET Fri,  1 March 2019",2
1584,Cramer's game plan: Why Friday's jobs report is more important than usual," 8:51  PM ET Fri,  1 March 2019",4
1585,Cramer Remix: These are the market's riskiest sectors," 8:48  PM ET Thu, 28 Feb 2019",1
1587,Amazon Web Services CEO: We're a $30 billion revenue run rate business in the 'early stages'," 9:05  PM ET Thu, 28 Feb 2019",1
1588,Cramer: I'm kicking myself for not recommending these stocks," 9:06  PM ET Thu, 28 Feb 2019",1
1589,S&P 500 could go beyond its current record closing level: Investor," 1:34  AM ET Thu, 28 Feb 2019",3
1590,Cramer Remix: GE's CEO has breathed new life into a fallen franchise," 7:43  PM ET Wed, 27 Feb 2019",1
1591,Cramer: GE CEO Larry Culp could have what it takes to turn the troubled power division around," 8:40  PM ET Wed, 27 Feb 2019",3
1592,Cramer explains the six things going right in the economy that are helping him sleep at night," 8:41  PM ET Wed, 27 Feb 2019",4
1594,Cramer Remix: This tech stock is worth buying ahead of the 5G rollout,"11:28  AM ET Wed, 27 Feb 2019",5
1595,Cramer: Home Depot got hit by bad weather and produced a windfall for investors," 7:49  PM ET Tue, 26 Feb 2019",1
1596,Cramer: Buy names like Caterpillar and Home Depot because this bull market is about to go higher," 7:52  PM ET Tue, 26 Feb 2019",2
1597,"Cramer's lightning round: I like Foot Locker, but stay out of the malls"," 2:39  PM ET Tue, 26 Feb 2019",3
1598,Cramer Remix: Kraft Heinz's double-digit dive was a long time coming," 3:12  PM ET Tue, 26 Feb 2019",5
1599,Cramer: 'Solid evidence' shows that investors can make money in this market even without a China trade deal," 7:37  PM ET Mon, 25 Feb 2019",3
1600,"Warren Buffett says if you invested $10,000 in the S&P 500 in 1942, you'd have $51 million today"," 4:02  PM ET Mon, 25 Feb 2019",1
1601,"US economic momentum can hold the cycle for a 'few more quarters,' JP Morgan's Kolanovic says"," 7:26  PM ET Wed, 20 Feb 2019",3
1602,Bank of America Merrill Lynch: A strong China trade deal could unleash a double-digit rally," 7:35  AM ET Wed, 20 Feb 2019",5
1603,Cramer Remix: This single statement by Nvidia speaks volumes," 7:36  PM ET Fri, 15 Feb 2019",5
1604,Cramer: Why investors can trust that Nvidia's stock is bottoming," 7:28  PM ET Fri, 15 Feb 2019",1
1605,Cramer's lightning round: Don't sell Disney yet—you'll want to own it long term," 7:28  PM ET Fri, 15 Feb 2019",1
1606,Cramer's game plan: Investors shouldn't underestimate the importance of a trade deal with China," 7:04  PM ET Fri, 15 Feb 2019",3
1607,"Johnson & Johnson CEO on Apple Watch collaboration: 'Ultimately, we're going to save lives'"," 7:28  PM ET Fri, 15 Feb 2019",4
1609,Cramer Remix: CenturyLink's slashed dividend isn't a huge surprise," 7:06  PM ET Thu, 14 Feb 2019",3
1610,Cramer's lightning round: I didn't expect Six Flags to do that poorly," 7:06  PM ET Thu, 14 Feb 2019",2
1611,"Cramer's apparel stock review counts Ralph Lauren, Capri among winners","11:11  AM ET Fri, 15 Feb 2019",4
1612,Twilio and SendGrid CEOs explain how deal will help them serve customers like Airbnb," 7:03  PM ET Thu, 14 Feb 2019",5
1613,"The market's 'safe' stocks might not be so safe anymore, Jim Cramer says"," 7:02  PM ET Thu, 14 Feb 2019",3
1614,Cramer Remix: The market may not be able to handle this perfect storm," 7:07  PM ET Wed, 13 Feb 2019",1
1616,Cramer unveils his latest investing theme: Empowering the little guy," 7:07  PM ET Wed, 13 Feb 2019",5
1617,Cramer's lightning round: These are the two pot stocks I'm recommending," 7:07  PM ET Wed, 13 Feb 2019",5
1618,"The bulls win out in the bull-bear battle over Cummins, Jim Cramer says"," 6:55  PM ET Wed, 13 Feb 2019",4
1619,"There's a looming threat for the stock market and it has nothing to do with China, Cramer says"," 6:55  PM ET Wed, 13 Feb 2019",1
1620,"Cramer: Charts show steady investor optimism, more upside for stocks"," 7:03  PM ET Tue, 12 Feb 2019",4
1621,Cramer Remix: Don't let Wall Street convince you there's a 'Fed-induced bubble'," 7:12  PM ET Tue, 12 Feb 2019",1
1622,"Charts show investor optimism, more upside for stocks: Cramer"," 6:58  PM ET Tue, 12 Feb 2019",3
1623,Cramer's lightning round: I'm sticking with Domino's ahead of earnings," 7:12  PM ET Tue, 12 Feb 2019",3
1624,"Cramer: Charts show steady investor optimism, more upside for stocks"," 7:11  PM ET Tue, 12 Feb 2019",4
1625,The company that helps Kylie Jenner sell her products is moving into cannabis: COO,"10:17  AM ET Wed, 13 Feb 2019",5
1626,Cramer's 5 fundamental reasons to stay in the stock market," 6:53  PM ET Tue, 12 Feb 2019",5
1627,"Cramer Remix: I'm worried about a lot of things, but a recession isn't one of them"," 7:17  PM ET Mon, 11 Feb 2019",3
1628,Cramer's lightning round: Sell some Cronos shares tomorrow," 7:17  PM ET Mon, 11 Feb 2019",1
1629,"Women could give the US economy a $1.6 trillion boost, says S&P Global CEO"," 7:17  PM ET Mon, 11 Feb 2019",4
1631,"Hasbro CEO: Toys R Us debacle was 'a disruption and an interruption,' but we're past it"," 7:17  PM ET Mon, 11 Feb 2019",1
1632,Cramer: This earnings period revealed 'brutal truths' about US-China trade," 7:17  PM ET Mon, 11 Feb 2019",1
1633,Cramer Remix: What Jeff Bezos' private life means for investors,"10:55  AM ET Mon, 11 Feb 2019",5
1634,Cramer: What Wall Street doesn't get about the SunTrust-BB&T merger," 7:03  PM ET Fri,  8 Feb 2019",1
1635,Cramer's lightning round: I think you can buy some Home Depot and then wait," 7:03  PM ET Fri,  8 Feb 2019",1
1636,Cramer: Wake up and hear the music—Spotify is an 'incredible' buy," 7:02  PM ET Fri,  8 Feb 2019",5
1638,Cramer's game plan: Next week's action hinges on US-China trade," 6:43  PM ET Fri,  8 Feb 2019",1
1639,"Cramer Remix: If the market drops tomorrow, buy this stock","11:34  AM ET Fri,  8 Feb 2019",5
1640,Cramer's lightning round: Morgan Stanley has great opportunity," 7:21  PM ET Thu,  7 Feb 2019",5
1641,"Leadership changes and time helped drive Chipotle's comeback, says Jim Cramer"," 7:03  PM ET Thu,  7 Feb 2019",5
1642,"CEO of holding company behind Vimeo, Daily Beast shares why he thinks it's undervalued"," 7:03  PM ET Thu,  7 Feb 2019",1
1643,Cramer: Don't rush to buy this dip—there are legitimate reasons to sell," 7:03  PM ET Thu,  7 Feb 2019",1
1644,"Cramer Remix: After a 20-year hiatus, this stock is finally back"," 7:17  PM ET Wed,  6 Feb 2019",5
1645,Cramer's lightning round: 'I'm surprised' Canada Goose trades so badly—it's a buy," 7:17  PM ET Wed,  6 Feb 2019",1
1646,Here's how 4 beaten-down stocks managed to stabilize the market: Jim Cramer," 7:04  PM ET Wed,  6 Feb 2019",4
1647,Here are the 5 biggest beneficiaries of the 5G rollout: Jim Cramer," 7:17  PM ET Wed,  6 Feb 2019",5
1648,"These 2 telecom stocks could be major winners from US-China trade war, Cramer says"," 7:17  PM ET Wed,  6 Feb 2019",3
1649,"Investors 'can afford to be cautiously optimistic,' according to the charts"," 7:05  PM ET Tue,  5 Feb 2019",4
1650,Cramer: Charts suggest investors 'can afford to be cautiously optimistic'," 7:04  PM ET Tue,  5 Feb 2019",3
1651,Cramer Remix: I've never seen a CEO pull off this high-wire act in the long term," 7:06  PM ET Tue,  5 Feb 2019",1
1653,Cramer's lightning round: I'm finally making the buy call on Alibaba," 6:49  PM ET Tue,  5 Feb 2019",5
1654,Cramer: Charts suggest investors 'can afford to be cautiously optimistic'," 7:06  PM ET Tue,  5 Feb 2019",3
1655,Cramer: Why companies like Alphabet get 'little to no credit' for their massive cash piles," 6:51  PM ET Tue,  5 Feb 2019",1
1656,Cramer: You can make a ton of money over the long term with these 'prestige' stocks," 6:53  PM ET Tue,  5 Feb 2019",5
1657,Cramer Remix: Apple's next move in health care could be with Dexcom," 7:05  PM ET Mon,  4 Feb 2019",4
1658,Cramer breaks down an odd trend emerging in the chip stocks," 7:05  PM ET Mon,  4 Feb 2019",3
1660,Cramer's lightning round: Boeing's stock is gearing up for a 'multi-year move'," 7:05  PM ET Mon,  4 Feb 2019",4
1661,"When you're picking stocks, consider the CEOs who have learned from the best: Jim Cramer"," 6:58  PM ET Mon,  4 Feb 2019",5
1662,"If you're investing in big tech, 'don't be distracted by short-term problems,' says Cramer"," 6:47  PM ET Mon,  4 Feb 2019",3
1663,Cramer Remix: This was the real creator of December's short-lived bear market," 7:07  PM ET Fri,  1 Feb 2019",5
1664,Cramer's lightning round: Bank of America's stock is a screaming buy," 7:08  PM ET Fri,  1 Feb 2019",1
1665,Cramer calls on eBay to work with activist investor Elliott Management," 7:08  PM ET Fri,  1 Feb 2019",1
1666,Here's the real reason the stock market had such a strong start to the year: Jim Cramer," 6:51  PM ET Fri,  1 Feb 2019",1
1667,Cramer's game plan: Be ready to 'buy the next dip' in this 'ideal backdrop for stocks'," 7:08  PM ET Fri,  1 Feb 2019",5
1668,Cramer Remix: Forget FANG—these are the real tech winners for 2019," 7:21  PM ET Thu, 31 Jan 2019",5
1669,"Cramer's lightning round: I've been wrong on Groupon, but I still see value"," 7:12  PM ET Thu, 31 Jan 2019",4
1670,Elizabeth Warren says she wants billionaires to 'stop being freeloaders'," 7:09  PM ET Thu, 31 Jan 2019",1
1671,"PayPal CFO addresses 3 pain points in earnings: eBay, currency and 'pockets' of slower growth"," 7:08  PM ET Thu, 31 Jan 2019",2
1672,"How Facebook, GE and Apple turned their struggles into stock gains: Cramer"," 7:06  PM ET Thu, 31 Jan 2019",5
1673,Cramer Remix: Today's Fed decision was a victory of prudence over recklessness," 7:03  PM ET Wed, 30 Jan 2019",5
1675,Cramer's lightning round: Ford Motor has become a 'show-me' story," 6:51  PM ET Wed, 30 Jan 2019",5
1676,Cramer: The strong US dollar hurts companies like Apple more than you think," 6:46  PM ET Wed, 30 Jan 2019",1
1677,Art Cashin: It's 'pretty obvious' the Fed is moving to the whims of the markets," 6:22  PM ET Wed, 30 Jan 2019",3
1678,Domino's plans to grow its customer base and 'overall pizza category' with new giveaway: CEO," 6:42  PM ET Wed, 30 Jan 2019",4
1679,"Fed's Powell didn't 'cave'—he made the right choice for Main Street, says Jim Cramer"," 6:41  PM ET Wed, 30 Jan 2019",3
1680,Cramer Remix: Don't jump the gun—Nvidia's stock isn't done falling," 7:12  PM ET Tue, 29 Jan 2019",1
1682,"Tariffs enabled top US steelmaker Nucor to build new billion-dollar plant, says CEO"," 7:12  PM ET Tue, 29 Jan 2019",5
1683,Cramer's lightning round: AbbVie needs to make an acquisition—it might just save its stock," 7:12  PM ET Tue, 29 Jan 2019",2
1684,Cramer: Charts reveal 'serious' hurdles facing chipmakers' stocks," 7:12  PM ET Tue, 29 Jan 2019",2
1685,Here's when an earnings miss isn't really a miss: Jim Cramer," 7:12  PM ET Tue, 29 Jan 2019",3
1686,Cramer on Apple earnings: The haters have 'no more new ammunition'," 7:12  PM ET Tue, 29 Jan 2019",1
1687,"Cramer Remix: If you absolutely have to dabble in Chinese stocks, stick with this one"," 7:07  PM ET Mon, 28 Jan 2019",1
1688,"Cramer's pot predictions for 2019: Legalization, deals, branding goes big"," 2:32  PM ET Tue, 29 Jan 2019",5
1689,Cramer's lightning round: CVS is 'one of the absolute cheapest stocks' in the market," 7:06  PM ET Mon, 28 Jan 2019",1
1690,RBN Energy's Rusty Braziel: Here's the most important thing going on in the oil market," 7:06  PM ET Mon, 28 Jan 2019",5
1691,"A key market sector is signaling that the Fed should stay on hold, says Jim Cramer"," 7:05  PM ET Mon, 28 Jan 2019",4
1692,Cramer Remix: This unlikely subscription service has others following its lead," 7:07  PM ET Fri, 25 Jan 2019",1
1693,Cramer's lightning round: Cannabis stock Cronos is second-best in its space," 7:07  PM ET Fri, 25 Jan 2019",5
1694,Cramer's favorite ways to invest in the rise of streaming services," 7:04  PM ET Fri, 25 Jan 2019",5
1695,Cramer's game plan: We may be coming in 'too hot' to the busiest week of the year," 6:53  PM ET Fri, 25 Jan 2019",3
1697,Wells Fargo CEO responds to Elizabeth Warren's calls for his firing,"11:50  AM ET Mon, 28 Jan 2019",4
1698,Wells Fargo CEO on how bank is helping customers affected by government shutdown," 6:55  PM ET Fri, 25 Jan 2019",5
1699,These US stocks are most vulnerable to the Brexit outcome," 9:00  AM ET Fri, 25 Jan 2019",1
1700,"Cramer Remix: If the government shutdown continues to drag on, this is the stock to buy"," 7:14  PM ET Thu, 24 Jan 2019",5
1701,Cramer: Here are 7 shutdown-proof investing themes," 7:23  PM ET Thu, 24 Jan 2019",1
1702,"Cramer's lightning round: If you want to play oil refining, go for these stocks"," 7:22  PM ET Thu, 24 Jan 2019",5
1704,"Okta now has over 100 million registered users, says CEO"," 7:26  PM ET Thu, 24 Jan 2019",5
1705,"It's not too late for investors to take advantage of the market rotation, says Jim Cramer"," 6:58  PM ET Thu, 24 Jan 2019",3
1706,Cramer Remix: 'It's too soon' to buy even this top-notch industrial stock," 7:03  PM ET Wed, 23 Jan 2019",5
1707,Credit Suisse strategist shares his top concern about current market conditions,"12:04  PM ET Thu, 24 Jan 2019",5
1708,Cramer's lightning round: This sector is the market's 'kiss of death'," 7:01  PM ET Wed, 23 Jan 2019",5
1709,"Cramer: If Apple doesn't buy Epic Systems, here's what it could do instead"," 6:59  PM ET Wed, 23 Jan 2019",1
1710,"Wall Street regulators should've investigated the Christmas Eve crash, Jim Cramer argues"," 6:47  PM ET Wed, 23 Jan 2019",1
1711,Cramer: Oil prices are taking too much control over the stock market's moves," 6:39  PM ET Wed, 23 Jan 2019",2
1712,Stocks would have to drop nearly 50% for the market to be fairly valued: Morgan Creek Capital," 4:28  PM ET Wed, 23 Jan 2019",3
1713,Cramer Remix: This stock's revival is too cheap to ignore," 7:02  PM ET Tue, 22 Jan 2019",2
1714,Cramer's lightning round: I'm blessing a small position in Nvidia here," 7:02  PM ET Tue, 22 Jan 2019",5
1715,Cramer: Charts reveal buying opportunities in some high-quality Chinese stocks," 6:53  PM ET Tue, 22 Jan 2019",4
1716,China's slowing growth improves the chances for an 'advantageous' trade deal: Jim Cramer," 6:50  PM ET Tue, 22 Jan 2019",4
1717,"'Be careful about how much you sell' at these levels, warns Jim Cramer"," 6:48  PM ET Tue, 22 Jan 2019",3
1719,"Cramer's game plan: This week, forecasts are more important than earnings"," 6:43  PM ET Fri, 18 Jan 2019",5
1720,Cramer Remix: There's 'incredible value' in the stock market right now," 7:03  PM ET Thu, 17 Jan 2019",5
1721,Cramer's lightning round: 'I'm not endorsing' Fiat Chrysler's stock anymore," 7:03  PM ET Thu, 17 Jan 2019",1
1722,Cramer on how to protect your portfolio from Washington uncertainty," 6:51  PM ET Thu, 17 Jan 2019",4
1723,Gold mining CEO addresses recent industry mergers: 'I think they're on the right track'," 6:51  PM ET Thu, 17 Jan 2019",3
1724,Here's the real reason why stocks popped on China trade reports: Cramer," 6:51  PM ET Thu, 17 Jan 2019",1
1726,Leuthold's Jim Paulsen: Economy could see sub-2% growth this year — but that could help stocks," 4:05  PM ET Thu, 17 Jan 2019",3
1727,Cramer Remix: You'll want to own this stock when the company gets its groove back," 7:06  PM ET Wed, 16 Jan 2019",1
1728,Dealmaking surge confirms the stock market got far too cheap after late 2018 sell-offs: Cramer," 7:08  PM ET Wed, 16 Jan 2019",1
1729,Cramer's lightning round: Twitter is one of the few social media stocks working here," 7:08  PM ET Wed, 16 Jan 2019",1
1730,Cramer: Not all of retail is struggling—just look at these 3 winners," 6:59  PM ET Wed, 16 Jan 2019",1
1731,"The bank stocks are leading stocks out of their rut, and it's not too late to buy: Cramer"," 6:52  PM ET Wed, 16 Jan 2019",4
1732,S&P 500 can rally 15% this year despite the shutdown sideshow: Blackstone's top strategist," 9:23  AM ET Wed, 16 Jan 2019",5
1733,Cramer Remix: Don't take your cue on all of retail from Macy's," 7:06  PM ET Tue, 15 Jan 2019",1
1734,Cramer's lightning round: Exxon Mobil's stock has finally gotten cheap," 7:06  PM ET Tue, 15 Jan 2019",1
1735,"Apple should buy private digital health records operation Epic Systems, says Jim Cramer","10:56  AM ET Wed, 16 Jan 2019",1
1736,"Cramer's charts suggest lower volatility, higher stock prices in coming months"," 6:46  PM ET Tue, 15 Jan 2019",2
1737,"Cramer: Netflix's price bump means Amazon, Apple's stocks are bargains"," 6:39  PM ET Tue, 15 Jan 2019",1
1738,Cramer Remix: PVH just changed the retail narrative," 1:13  PM ET Tue, 15 Jan 2019",2
1739,Tech execs tell Cramer behind closed doors they support Trump's hardline trade policy on China," 7:07  PM ET Mon, 14 Jan 2019",1
1741,Cramer's lightning round: The way to play Goldman's downgrade of Starbucks," 7:07  PM ET Mon, 14 Jan 2019",5
1742,Investors are getting a 'win-win' trade in this Dollar Tree battle: Cramer," 7:05  PM ET Mon, 14 Jan 2019",5
1743,"Citi's rally after earnings means we're too worried about recession, says Jim Cramer"," 6:46  PM ET Mon, 14 Jan 2019",2
1744,Cramer Remix: The bull is fighting back thanks to the data center," 7:04  PM ET Fri, 11 Jan 2019",4
1745,Cramer's lightning round: The defense stocks are no longer growth plays," 7:04  PM ET Fri, 11 Jan 2019",2
1746,"If you're worried about stocks, invest in gold here, Jim Cramer says"," 6:48  PM ET Fri, 11 Jan 2019",5
1748,Chinese consumers are taking sides in the trade war and that's bad news for US companies: Cramer," 7:23  PM ET Fri, 11 Jan 2019",1
1749,Cramer's game plan: Entering earnings season with more risk 'than I'd like'," 6:41  PM ET Fri, 11 Jan 2019",3
1750,Strategist Tom Lee: 'Buy the dip' because the S&P could rally 17 percent in 2019," 2:25  PM ET Fri, 11 Jan 2019",1
1751,"Cramer Remix: Retailers are facing a new, harsher reality"," 7:04  PM ET Thu, 10 Jan 2019",1
1752,Cramer's lightning round: The Fed makes me nervous about this best-in-show stock," 7:04  PM ET Thu, 10 Jan 2019",4
1753,Cramer picks his favorites in the race back to a $1 trillion market cap," 6:53  PM ET Thu, 10 Jan 2019",5
1754,"Intel has the biggest addressable market it's ever seen, says company's interim CEO"," 6:50  PM ET Thu, 10 Jan 2019",5
1755,"Stocks are rallying on days they should drop and that's a good sign, says Jim Cramer"," 6:50  PM ET Thu, 10 Jan 2019",4
1756,Cramer Remix: These two factors could restart the worldwide economic expansion," 7:02  PM ET Wed,  9 Jan 2019",4
1757,Cramer's lightning round: Autozone has the 'best buyback' I've ever seen—it's a buy," 7:02  PM ET Wed,  9 Jan 2019",5
1758,"Apple's stock will continue to struggle until one of two things happens, says Jim Cramer"," 6:57  PM ET Wed,  9 Jan 2019",3
1759,"Constellation Brands CEO casts stock drop as 'total overreaction,' says he recently bought shares","12:03  PM ET Thu, 10 Jan 2019",1
1760,Cramer on chip stocks' reversal: 'You can't wait for an all-clear sign' to buy," 6:50  PM ET Wed,  9 Jan 2019",3
1761,$100 billion beyond the iPhone: Apple CEO Tim Cook talks giant's move past hardware,"10:36  AM ET Wed,  9 Jan 2019",5
1763,Cramer Remix: Not so fast—the Fed might not be done with its rate hikes yet," 7:27  PM ET Tue,  8 Jan 2019",3
1764,Cramer's lightning round: I prefer cannabis stock Canopy Growth over Tilray," 7:07  PM ET Tue,  8 Jan 2019",3
1765,Tim Cook: Apple's greatest contribution will be 'about health',"10:52  AM ET Fri,  9 Aug 2019",5
1766,"Apple CEO Tim Cook rips into Qualcomm, leaves little chance of a settlement in patent dispute","11:11  PM ET Tue,  8 Jan 2019",1
1767,Apple CEO Tim Cook speaks with CNBC's Jim Cramer: Full transcript,"10:37  AM ET Wed,  9 Jan 2019",5
1768,"Apple's wearables revenue is already exceeding peak iPod sales, Tim Cook says"," 7:26  PM ET Tue,  8 Jan 2019",1
1770,"Cramer: It's not too late to buy into Facebook, Apple, Amazon or Alphabet"," 7:03  PM ET Tue,  8 Jan 2019",3
1771,Apple CEO Tim Cook: 'I'm very optimistic' about US-China trade talks," 7:16  AM ET Wed,  9 Jan 2019",3
1772,Tim Cook to Apple naysayers: 'The ecosystem has never been stronger'," 7:27  PM ET Tue,  8 Jan 2019",3
1773,Cramer Remix: This chipmaker could have another bad quarter—but it's worth buying now," 7:03  PM ET Mon,  7 Jan 2019",4
1774,Cramer's lightning round: Be 'very careful' with this stock—it's in a 'giant short squeeze'," 7:02  PM ET Mon,  7 Jan 2019",4
1775,Amgen CEO on cholesterol drug price cut: 'Too many patients' were struggling to pay," 6:57  PM ET Mon,  7 Jan 2019",2
1776,"Novartis CEO talks chasing cures over profitable treatments, says they will 'ultimately' be valued","10:21  AM ET Tue,  8 Jan 2019",4
1777,Cramer: Drug stocks are an even better way than tech to invest in innovation," 6:47  PM ET Mon,  7 Jan 2019",5
1778,Cramer Remix: Fed Chair Jay Powell—this message is for you," 7:02  PM ET Fri,  4 Jan 2019",5
1779,Cramer's lightning round: 'Do some trimming' in Qualcomm if the stock rallies," 7:02  PM ET Fri,  4 Jan 2019",3
1780,Cramer reveals some of his favorite Dow stocks for 2019," 6:56  PM ET Fri,  4 Jan 2019",5
1781,"The Fed may have just set the Trump rally back on its course, says Jim Cramer"," 6:50  PM ET Fri,  4 Jan 2019",2
1782,"Cramer's game plan: Health care, economic data in focus after Fed preaches patience"," 6:43  PM ET Fri,  4 Jan 2019",4
1783,Cramer Remix: The monumental deal you might've missed," 7:02  PM ET Thu,  3 Jan 2019",5
1785,Cramer's lightning round: AT&T's stock is an opportunity here," 7:07  PM ET Thu,  3 Jan 2019",5
1786,AMN Healthcare Services CEO: Aging population is creating major job shortages in health care," 7:07  PM ET Thu,  3 Jan 2019",2
1787,Cramer finds pockets of opportunity in the best and worst stocks of 2018's final quarter," 7:01  PM ET Thu,  3 Jan 2019",5
1788,"Cramer: Time to buy recession-proof stocks like Clorox, PepsiCo, Coca-Cola"," 6:57  PM ET Thu,  3 Jan 2019",1
1789,Strategist: I expect a 'very rough' 2019 that may see US stocks tank 20 percent," 3:17  AM ET Wed, 26 Dec 2018",3
1790,Cramer Remix: This market is being too picky," 7:14  PM ET Thu, 20 Dec 2018",2
1792,CEO of Boehner-backed cannabis company sees bill paving way for legalization being passed in 2019," 5:53  PM ET Fri, 21 Dec 2018",1
1793,Cramer's lightning round: These cybersecurity stocks are the ones to own in this market," 7:14  PM ET Thu, 20 Dec 2018",5
1794,"Cramer: GE 'deserved to rebound' on Tusa upgrade, but I still wouldn't buy the stock"," 6:59  PM ET Thu, 20 Dec 2018",2
1795,"Cramer feels 'powerless' after Fed hike, tells investors to buy gold"," 6:56  PM ET Thu, 20 Dec 2018",1
1796,"Cramer Remix: If you can handle the allegations, these companies could be profitable long-term plays"," 7:12  PM ET Wed, 19 Dec 2018",3
1797,Cramer's lightning round: Sell Teva—debt is not king in this environment," 7:12  PM ET Wed, 19 Dec 2018",1
1798,Eli Lilly CEO on winning in migraine treatments: 'It's a horse race between three great companies'," 7:12  PM ET Wed, 19 Dec 2018",4
1799,"Cramer: Dow could have 'easily' been down 1,000 points on Fed hike"," 7:12  PM ET Wed, 19 Dec 2018",3
1800,Micron CEO touts 'vibrant' demand for key products as stock hits 52-week low after earnings," 7:12  PM ET Wed, 19 Dec 2018",1
1801,"Cramer Remix: In the economic blame game, the Fed is a bigger problem than Trump"," 7:03  PM ET Tue, 18 Dec 2018",3
